NUTS2_CODE;COUNTRY_NAME;COUNTRY;NOV2015;MAY2016;NOV2016;MAY2017;NOV2017;MEAN_ACCEPTANCE
BE10;BELGIQUE;1;,713966678;,68565319;,691814657;,700355758;,675545621;,6934671808
BE21;BELGIQUE;1;,709973085;,68190983;,684306722;,691123656;,675318549;,6885263684
BE22;BELGIQUE;1;,708901186;,680917276;,682471761;,690899118;,675218139;,687681496
BE23;BELGIQUE;1;,709610632;,680210265;,683032465;,689757039;,675663997;,6876548796
BE24;BELGIQUE;1;,712263729;,685637345;,687186491;,695245886;,681088358;,6922843618
BE25;BELGIQUE;1;,708479117;,679677323;,681690466;,689201836;,674939683;,686797685
BE31;BELGIQUE;1;,67653207;,669925803;,725240839;,682358157;,700868176;,690985009
BE32;BELGIQUE;1;,707215633;,676291397;,677441051;,688192587;,669616526;,6837514388
BE33;BELGIQUE;1;,673903619;,657377011;,717626126;,674534378;,696840691;,684056365
BE34;BELGIQUE;1;,677740131;,620686873;,692508027;,673323149;,70562536;,673976708
BE35;BELGIQUE;1;,677904491;,619414032;,690547489;,674416188;,704745936;,6734056272
BG31;BALGARIJA;2;,414072847;,364562129;,274223129;,355244579;,434582003;,3685369374
BG32;BALGARIJA;2;,414685947;,361698817;,274235687;,354653421;,436360616;,3683268976
BG33;BALGARIJA;2;,416505998;,363440034;,275825216;,353243705;,435516362;,368906263
BG34;BALGARIJA;2;,358886698;,336942922;,304389022;,336900539;,448146776;,3570531914
BG41;BALGARIJA;2;,356498193;,336652796;,290175098;,324172873;,448726839;,3512451598
BG42;BALGARIJA;2;,416244933;,364630868;,275923403;,352765308;,431609955;,3682348934
CZ01;CESKA REPUBLIKA;3;,355136202;,3784465;,297597176;,303174115;,395156394;,3459020774
CZ02;CESKA REPUBLIKA;3;,34728616;,364497893;,29262623;,295311724;,389372895;,3378189804
CZ03;CESKA REPUBLIKA;3;,345504919;,258340288;,241001323;,284033549;,353146908;,2964053974
CZ04;CESKA REPUBLIKA;3;,338080052;,318737162;,289044935;,306863884;,357433141;,3220318348
CZ05;CESKA REPUBLIKA;3;,345289089;,259780079;,241163962;,285130386;,354626251;,2971979534
CZ06;CESKA REPUBLIKA;3;,338631888;,320369072;,290502664;,310182533;,360880585;,3241133484
CZ07;CESKA REPUBLIKA;3;,346078323;,260389249;,240879206;,284685502;,355252077;,2974568714
CZ08;CESKA REPUBLIKA;3;,337326806;,317816908;,288240663;,305723106;,35780598;,3213826926
DK01;DANMARK;4;,802170853;,771574734;,787396976;,778545164;,771541091;,7822457636
DK02;DANMARK;4;,742914908;,731665439;,752391358;,748915678;,769474049;,7490722864
DK03;DANMARK;4;,743963389;,733129189;,752627871;,749891996;,770061097;,7499347084
DK04;DANMARK;4;,743274385;,732265934;,752415814;,74832488;,769826511;,7492215048
DK05;DANMARK;4;,741695819;,731119162;,751690694;,747009351;,768221048;,7479472148
DE11;DEUTSCHLAND WEST;5;,762701039;,793965364;,789845852;,815479244;,80721755;,7938418098
DE12;DEUTSCHLAND WEST;5;,763109614;,793774013;,791123317;,816143444;,807972636;,7944246048
DE13;DEUTSCHLAND WEST;5;,765263867;,794807629;,797419371;,799038191;,805902086;,7924862288
DE14;DEUTSCHLAND WEST;5;,772164678;,774610429;,793739808;,793293251;,795950651;,7859517634
DE21;DEUTSCHLAND WEST;5;,766994728;,794811192;,791372926;,817681049;,808870847;,7959461484
DE22;DEUTSCHLAND WEST;5;,771082889;,775749444;,79230475;,791924407;,795164144;,7852451268
DE23;DEUTSCHLAND WEST;5;,77169618;,775253792;,79289758;,792927591;,795732921;,7857016128
DE24;DEUTSCHLAND WEST;5;,771241721;,774374786;,793037301;,792672874;,798080522;,7858814408
DE25;DEUTSCHLAND WEST;5;,763563015;,79316341;,790169426;,815540715;,808048752;,7940970636
DE26;DEUTSCHLAND WEST;5;,771844912;,775452405;,793189099;,792381779;,796623104;,7858982598
DE27;DEUTSCHLAND WEST;5;,771822769;,77434454;,793469439;,793224496;,79672565;,7859173788
DE30;DEUTSCHLAND OST;6;,751922585;,706708422;,778159945;,748964519;,730118642;,7431748226
DE40;DEUTSCHLAND OST;6;,74097889;,711290469;,747523895;,766650925;,739759372;,7412407102
DE50;DEUTSCHLAND WEST;5;,757895843;,791566437;,792565131;,814524134;,806160343;,7925423776
DE60;DEUTSCHLAND WEST;5;,764012083;,793005348;,791929655;,816966619;,807363628;,7946554666
DE71;DEUTSCHLAND WEST;5;,761716647;,79438346;,791662854;,816089902;,80705796;,7941821646
DE72;DEUTSCHLAND WEST;5;,765019968;,793869021;,796282924;,798553664;,805331535;,7918114224
DE73;DEUTSCHLAND WEST;5;,77070054;,773143096;,793811665;,792028799;,798248149;,7855864498
DE80;DEUTSCHLAND OST;6;,737049685;,722182716;,75703404;,762075472;,72679387;,7410271566
DE91;DEUTSCHLAND WEST;5;,765213454;,79471363;,796358871;,797259163;,805002301;,7917094838
DE92;DEUTSCHLAND WEST;5;,760839389;,792269686;,790665061;,814712745;,807177721;,7931329204
DE93;DEUTSCHLAND WEST;5;,765105697;,795165893;,795914521;,798369054;,805259257;,7919628844
DE94;DEUTSCHLAND WEST;5;,765172149;,794318531;,795996724;,798197489;,80450473;,7916379246
DEA1;DEUTSCHLAND WEST;5;,760059347;,79296398;,791716265;,814835463;,807058721;,7933267552
DEA2;DEUTSCHLAND WEST;5;,762027609;,793267415;,790776565;,815782395;,806653281;,793701453
DEA3;DEUTSCHLAND WEST;5;,765940238;,794636764;,796691118;,797872226;,803965895;,7918212482
